Halogen: MAPI Mode: 1 avg:  3267.2 count: 248 sigma: 259.189
Halogen: MAPI Mode: 2 avg:  3153.07 count: 248 sigma: 230.13
Halogen: MAPI Mode: 3 avg:  3108.33 count: 248 sigma: 326.728
Halogen: MAPI Mode: 4 avg:  3027.11 count: 248 sigma: 122.283
Halogen: MAPI Mode: 5 avg:  2931.79 count: 248 sigma: 247.258
Halogen: MAPI Mode: 6 avg:  2788.56 count: 248 sigma: 380.342
Halogen: MAPI Mode: 7 avg:  1560.55 count: 248 sigma: 104.868
Halogen: MAPI Mode: 8 avg:  1512.73 count: 248 sigma: 99.8373
Halogen: MAPI Mode: 9 avg:  1424.79 count: 248 sigma: 109.216
Halogen: MAPI Mode: 10 avg:  1380.16 count: 248 sigma: 131.536
Halogen: MAPI Mode: 11 avg:  1356.54 count: 248 sigma: 149.934
Halogen: MAPI Mode: 12 avg:  1312.42 count: 248 sigma: 171.998
Halogen: MAPI Mode: 13 avg:  1172.43 count: 248 sigma: 155.425
Halogen: MAPI Mode: 14 avg:  1147.63 count: 248 sigma: 166.886
Halogen: MAPI Mode: 15 avg:  944.678 count: 248 sigma: 145.033
Halogen: MAPI Mode: 16 avg:  859.797 count: 248 sigma: 143.184
Halogen: MAPI Mode: 17 avg:  824.117 count: 248 sigma: 152.768
Halogen: MAPI Mode: 18 avg:  335.059 count: 248 sigma: 68.4642
Halogen: MAPI Mode: 19 avg:  189.626 count: 248 sigma: 59.4805
Halogen: MAPI Mode: 20 avg:  156.627 count: 248 sigma: 42.6785
Halogen: MAPI Mode: 21 avg:  141.553 count: 248 sigma: 31.4133
Halogen: MAPI Mode: 22 avg:  130.244 count: 247 sigma: 20.0602
Halogen: MAPI Mode: 23 avg:  118.195 count: 247 sigma: 14.2727
Halogen: MAPI Mode: 24 avg:  106.165 count: 247 sigma: 14.4624
Halogen: MAPI Mode: 25 avg:  92.8079 count: 247 sigma: 12.9282
Halogen: MAPI Mode: 26 avg:  83.8073 count: 247 sigma: 8.75338
Halogen: MAPI Mode: 27 avg:  77.5386 count: 247 sigma: 7.8903
Halogen: MAPI Mode: 28 avg:  70.1256 count: 247 sigma: 8.90578
Halogen: MAPI Mode: 29 avg:  61.4715 count: 247 sigma: 11.0502
Halogen: MAPI Mode: 30 avg:  52.15 count: 245 sigma: 13.6604
Halogen: MAPI Mode: 31 avg:  40.8836 count: 233 sigma: 16.4201
Halogen: MAPI Mode: 32 avg:  27.5551 count: 192 sigma: 18.1883
Halogen: MAPI Mode: 33 avg:  17.0721 count: 94 sigma: 16.6275
Halogen: MAPBr Mode: 1 avg:  3529.43 count: 97 sigma: 204.854
Halogen: MAPBr Mode: 2 avg:  3344.46 count: 97 sigma: 135.654
Halogen: MAPBr Mode: 3 avg:  3167.79 count: 97 sigma: 198.604
Halogen: MAPBr Mode: 4 avg:  2964.59 count: 97 sigma: 265.725
Halogen: MAPBr Mode: 5 avg:  2574.3 count: 97 sigma: 556.309
Halogen: MAPBr Mode: 6 avg:  1888.69 count: 97 sigma: 604.537
Halogen: MAPBr Mode: 7 avg:  1448.78 count: 97 sigma: 169.749
Halogen: MAPBr Mode: 8 avg:  1322.71 count: 97 sigma: 208.268
Halogen: MAPBr Mode: 9 avg:  1204.42 count: 97 sigma: 198.857
Halogen: MAPBr Mode: 10 avg:  1100.16 count: 97 sigma: 202.396
Halogen: MAPBr Mode: 11 avg:  1006.24 count: 97 sigma: 223.315
Halogen: MAPBr Mode: 12 avg:  902.643 count: 97 sigma: 203.316
Halogen: MAPBr Mode: 13 avg:  806.255 count: 97 sigma: 191.937
Halogen: MAPBr Mode: 14 avg:  744.005 count: 97 sigma: 196.103
Halogen: MAPBr Mode: 15 avg:  589.834 count: 97 sigma: 149.491
Halogen: MAPBr Mode: 16 avg:  511.243 count: 97 sigma: 139.497
Halogen: MAPBr Mode: 17 avg:  448.137 count: 97 sigma: 138.448
Halogen: MAPBr Mode: 18 avg:  344.501 count: 97 sigma: 85.0582
Halogen: MAPBr Mode: 19 avg:  269.482 count: 97 sigma: 72.77
Halogen: MAPBr Mode: 20 avg:  220.124 count: 97 sigma: 58.0633
Halogen: MAPBr Mode: 21 avg:  193.401 count: 97 sigma: 43.2311
Halogen: MAPBr Mode: 22 avg:  169.103 count: 97 sigma: 28.6867
Halogen: MAPBr Mode: 23 avg:  154.834 count: 97 sigma: 23.1782
Halogen: MAPBr Mode: 24 avg:  140.454 count: 97 sigma: 17.9286
Halogen: MAPBr Mode: 25 avg:  128.685 count: 97 sigma: 14.5487
Halogen: MAPBr Mode: 26 avg:  118.134 count: 97 sigma: 12.7487
Halogen: MAPBr Mode: 27 avg:  106.492 count: 97 sigma: 12.9152
Halogen: MAPBr Mode: 28 avg:  96.7736 count: 97 sigma: 15.8415
Halogen: MAPBr Mode: 29 avg:  89.2289 count: 96 sigma: 12.6903
Halogen: MAPBr Mode: 30 avg:  79.1698 count: 95 sigma: 12.4749
Halogen: MAPBr Mode: 31 avg:  61.2541 count: 92 sigma: 23.9184
Halogen: MAPBr Mode: 32 avg:  38.9272 count: 72 sigma: 28.9329
Halogen: MAPBr Mode: 33 avg:  27.958 count: 23 sigma: 24.8786
Halogen: MAPCl Mode: 1 avg:  3278.94 count: 102 sigma: 162.216
Halogen: MAPCl Mode: 2 avg:  3161.37 count: 102 sigma: 102.739
Halogen: MAPCl Mode: 3 avg:  3083.86 count: 102 sigma: 83.4812
Halogen: MAPCl Mode: 4 avg:  3021.56 count: 102 sigma: 79.41
Halogen: MAPCl Mode: 5 avg:  2947.79 count: 102 sigma: 161.82
Halogen: MAPCl Mode: 6 avg:  2807.05 count: 102 sigma: 317.343
Halogen: MAPCl Mode: 7 avg:  1575.13 count: 102 sigma: 19.228
Halogen: MAPCl Mode: 8 avg:  1525.48 count: 102 sigma: 61.5728
Halogen: MAPCl Mode: 9 avg:  1442.32 count: 102 sigma: 74.1218
Halogen: MAPCl Mode: 10 avg:  1396.35 count: 102 sigma: 85.5243
Halogen: MAPCl Mode: 11 avg:  1368 count: 102 sigma: 111.983
Halogen: MAPCl Mode: 12 avg:  1322.98 count: 102 sigma: 131.606
Halogen: MAPCl Mode: 13 avg:  1183.15 count: 102 sigma: 117.288
Halogen: MAPCl Mode: 14 avg:  1156.58 count: 102 sigma: 132.866
Halogen: MAPCl Mode: 15 avg:  956.087 count: 102 sigma: 123.388
Halogen: MAPCl Mode: 16 avg:  876.842 count: 102 sigma: 135.504
Halogen: MAPCl Mode: 17 avg:  839.551 count: 102 sigma: 147.621
Halogen: MAPCl Mode: 18 avg:  358.696 count: 102 sigma: 72.2413
Halogen: MAPCl Mode: 19 avg:  230.242 count: 102 sigma: 40.3252
Halogen: MAPCl Mode: 20 avg:  214.138 count: 102 sigma: 25.1493
Halogen: MAPCl Mode: 21 avg:  199.855 count: 102 sigma: 15.6191
Halogen: MAPCl Mode: 22 avg:  190.774 count: 102 sigma: 13.993
Halogen: MAPCl Mode: 23 avg:  181.958 count: 102 sigma: 10.2201
Halogen: MAPCl Mode: 24 avg:  173.015 count: 102 sigma: 8.6808
Halogen: MAPCl Mode: 25 avg:  165.966 count: 102 sigma: 10.672
Halogen: MAPCl Mode: 26 avg:  157.894 count: 102 sigma: 10.6915
Halogen: MAPCl Mode: 27 avg:  144.014 count: 102 sigma: 11.8289
Halogen: MAPCl Mode: 28 avg:  130.721 count: 102 sigma: 15.3068
Halogen: MAPCl Mode: 29 avg:  114.836 count: 102 sigma: 22.8099
Halogen: MAPCl Mode: 30 avg:  100.986 count: 100 sigma: 23.9773
Halogen: MAPCl Mode: 31 avg:  78.0563 count: 95 sigma: 27.1961
Halogen: MAPCl Mode: 32 avg:  57.5869 count: 83 sigma: 28.3713
Halogen: MAPCl Mode: 33 avg:  36.3256 count: 43 sigma: 28.2645
